Name:,Shuang Lin
Email:,spl5745@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Ti38V15Nb23Hf24,BCC,AC+H+RX,none,Tensile Ductility,EXP,None,298.0,22.5,None,%,F2,10.1038/s41563-020-0750-4
2,Ti38V15Nb23Hf24,BCC,AC,none,Tensile Ductility,EXP,None,298.0,20.0,None,%,F2,10.1038/s41563-020-0750-4
3,Ti25V25Nb25Hf25,BCC,AC,none,Tensile Ductility,EXP,None,298.0,16.1,None,%,F2,10.1038/s41563-020-0750-4
4,Hf0.5Nb0.5Ta0.5Ti1.5Zr,BCC,AC,none,Tensile Ductility,EXP,None,298.0,18.8,None,%,F2,10.1063/1.4966659  
5,HfNbTiZr,BCC,AC+H,none,Tensile Ductility,EXP,None,298.0,14.9,None,%,P4,10.1063/1.4966659 
6,HfNbTaTiZr,BCC,AC,none,Tensile Ductility,EXP,None,298.0,6.0,None,%,P4,10.1063/1.4966659 
7,HfNbTiZr,BCC,None,none,Valence Electron Concentrations,DFT,None,0.0,4.25,None,None,T1,10.1063/1.4966659
8,Hf0.5Nb0.5Ta0.5Ti1.5Zr,BCC,None,none,Valence Electron Concentrations,DFT,None,0.0,4.25,None,None,T1,10.1063/1.4966659
9,HfNbTaTiZr,BCC,None,none,Valence Electron Concentrations,DFT,None,0.0,4.4,None,None,T1,10.1063/1.4966659
10,HfMoTaTiZr,BCC,None,none,Valence Electron Concentrations,DFT,None,0.0,4.6,None,None,T1,10.1063/1.4966659
11,HfMoNbTaTiZr,BCC,None,none,Valence Electron Concentrations,DFT,None,0.0,4.67,None,None,T1,10.1063/1.4966659
12,HfMoNbTiZr,BCC,None,none,Valence Electron Concentrations,DFT,None,0.0,4.6,None,None,T1,10.1063/1.4966659
13,MoNbTaVW,BCC,None,none,Valence Electron Concentrations,DFT,None,0.0,5.4,None,None,T1,10.1063/1.4966659
14,MoNbTaW,BCC,None,none,Valence Electron Concentrations,DFT,None,0.0,5.5,None,None,T1,10.1063/1.4966659
15,MoNbTaV,BCC,None,none,Valence Electron Concentrations,DFT,None,0.0,5.25,None,None,T1,10.1063/1.4966659
16,HfNbTiV,BCC,AC,Ductility lowest limit,Tensile Ductility,EXP,None,298.0,28.0,None,%,F3,10.1039/d0mh01341b 
17,Nb 30 Ti 40 Zr 30,BCC,None,Ductility lowest limit,estimated compressive ductility,EXP,None,295.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
18,Cr 20 Nb 30 Ti 40 Zr 10,BCC+Laves,None,none,Compressive Ductility,EXP,None,295.15,20.8,None,%,F6,10.1016/j.mtla.2021.101057
19,Al 15 Cr 20 Nb 15 Ti 40 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,295.15,12.2,None,%,F6,10.1016/j.mtla.2021.101057
20,Al 23 Cr 20 Nb 15 Ti 32 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,295.15,8.0,None,%,F6,10.1016/j.mtla.2021.101057
21,Al 28 Cr 20 Nb 15 Ti 27 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,295.15,7.1,None,%,F6,10.1016/j.mtla.2021.101057
22,Al 33 Cr 20 Nb 15 Ti 22 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,295.15,4.4,None,%,F6,10.1016/j.mtla.2021.101057
23,Nb 30 Ti 40 Zr 30,BCC,None,Ductility lowest limit,estimated compressive ductility,EXP,None,873.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
24,Cr 20 Nb 30 Ti 40 Zr 10,BCC+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,873.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
25,Al 15 Cr 20 Nb 15 Ti 40 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,873.15,24.0,None,%,F6,10.1016/j.mtla.2021.101057
26,Al 23 Cr 20 Nb 15 Ti 32 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,873.15,5.5,None,%,F6,10.1016/j.mtla.2021.101057
27,Al 28 Cr 20 Nb 15 Ti 27 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,873.15,5.2,None,%,F6,10.1016/j.mtla.2021.101057
28,Al 33 Cr 20 Nb 15 Ti 22 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,873.15,4.8,None,%,F6,10.1016/j.mtla.2021.101057
29,Nb 30 Ti 40 Zr 30,BCC,None,Ductility lowest limit,estimated compressive ductility,EXP,None,973.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
30,Cr 20 Nb 30 Ti 40 Zr 10,BCC+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,973.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
31,Al 15 Cr 20 Nb 15 Ti 40 Zr 10,B2+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,973.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
32,Al 23 Cr 20 Nb 15 Ti 32 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,973.15,17.7,None,%,F6,10.1016/j.mtla.2021.101057
33,Al 28 Cr 20 Nb 15 Ti 27 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,973.15,4.4,None,%,F6,10.1016/j.mtla.2021.101057
34,Al 33 Cr 20 Nb 15 Ti 22 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,973.15,3.0,None,%,F6,10.1016/j.mtla.2021.101057
35,Nb 30 Ti 40 Zr 30,BCC,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1073.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
36,Cr 20 Nb 30 Ti 40 Zr 10,BCC+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1073.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
37,Al 15 Cr 20 Nb 15 Ti 40 Zr 10,B2+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1073.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
38,Al 23 Cr 20 Nb 15 Ti 32 Zr 10,B2+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1073.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
39,Al 28 Cr 20 Nb 15 Ti 27 Zr 10,B2+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1073.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
40,Al 33 Cr 20 Nb 15 Ti 22 Zr 10,B2+Laves,None,none,Compressive Ductility,EXP,None,1073.15,4.0,None,%,F6,10.1016/j.mtla.2021.101057
41,Nb 30 Ti 40 Zr 30,BCC,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1273.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
42,Cr 20 Nb 30 Ti 40 Zr 10,BCC+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1273.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
43,Al 15 Cr 20 Nb 15 Ti 40 Zr 10,B2+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1273.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
44,Al 23 Cr 20 Nb 15 Ti 32 Zr 10,B2+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1273.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
45,Al 28 Cr 20 Nb 15 Ti 27 Zr 10,B2+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1273.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
46,Al 33 Cr 20 Nb 15 Ti 22 Zr 10,B2+Laves,None,Ductility lowest limit,estimated compressive ductility,EXP,None,1273.15,30.0,None,%,F6,10.1016/j.mtla.2021.101057
47,Ti0.5VNbMoTa,BCC,MA+SPS,mechanical alloying (MA) and spark plasma sintering (SPS),Compressive Ductility,EXP,None,298.15,8.6,None,%,T3,10.1016/j.jallcom.2020.158592
48,Ti1VNbMoTa,BCC,MA+SPS,none,Compressive Ductility,EXP,None,298.15,24.9,None,%,T3,10.1016/j.jallcom.2020.158592
49,Ti1.5VNbMoTa,BCC+FCC,MA+SPS,none,Compressive Ductility,EXP,None,298.15,10.8,None,%,T3,10.1016/j.jallcom.2020.158592
50,Ti2VNbMoTa,BCC+FCC,MA+SPS,none,Compressive Ductility,EXP,None,298.15,7.9,None,%,T3,10.1016/j.jallcom.2020.158592
51,VNbMoTaW,BCC,MA+SPS,none,Compressive Ductility,EXP,None,298.15,8.8,None,%,T3,10.1016/j.jallcom.2020.158592
52,NbMoTaWVCr,BCC,MA+SPS,none,Compressive Ductility,EXP,None,298.15,5.3,None,%,T3,10.1016/j.jallcom.2020.158592
